Frame	Temps(s)	X(m)	Y(m)	Z(m)
1	1776692043.969	-0.8695	0.2274	2.6397
2	1776692044.212	-0.8699	0.2279	2.6406
3	1776692044.253	-0.8686	0.2281	2.64
4	1776692044.3	-0.8636	0.2282	2.6456
5	1776692044.351	-0.8671	0.2284	2.6419
6	1776692044.398	-0.865	0.2277	2.6442
7	1776692044.43	-0.8653	0.2281	2.6422
8	1776692044.462	-0.8674	0.2284	2.64
9	1776692044.517	-0.8658	0.2288	2.6417
10	1776692044.563	-0.8677	0.2285	2.6403
11	1776692044.585	-0.8676	0.2292	2.6401
12	1776692044.635	-0.8688	0.2291	2.6386
13	1776692044.675	-0.8667	0.2286	2.6439
14	1776692044.703	-0.8714	0.2291	2.6367
15	1776692044.736	-0.8691	0.2291	2.6401
16	1776692044.761	-0.8705	0.2291	2.6373
17	1776692044.802	-0.8677	0.2284	2.6404
18	1776692044.848	-0.8665	0.2291	2.6415
19	1776692044.869	-0.8683	0.2297	2.6373
20	1776692044.905	-0.8708	0.2294	2.6358
21	1776692044.933	-0.8679	0.2294	2.6391
22	1776692044.952	-0.8654	0.2289	2.6424
23	1776692044.98	-0.8628	0.2288	2.6446
24	1776692045.014	-0.8649	0.2286	2.6427
25	1776692045.043	-0.8691	0.2289	2.6388
26	1776692045.058	-0.8674	0.2285	2.6417
27	1776692045.09	-0.8661	0.2291	2.6422
28	1776692045.121	-0.8702	0.2299	2.6381
29	1776692045.152	-0.8709	0.2304	2.6367
30	1776692045.185	-0.8709	0.2302	2.6356
31	1776692045.216	-0.8675	0.2298	2.6389
32	1776692045.232	-0.8712	0.2299	2.6338
33	1776692045.283	-0.8716	0.2301	2.6335
34	1776692045.314	-0.8698	0.23	2.6377
35	1776692045.327	-0.8673	0.2293	2.6406
36	1776692045.358	-0.867	0.2286	2.6417
37	1776692045.389	-0.8698	0.2299	2.6382
38	1776692045.421	-0.8699	0.2296	2.6397
39	1776692045.453	-0.8648	0.2289	2.6453
40	1776692045.484	-0.8667	0.2294	2.6428
41	1776692045.502	-0.8697	0.2294	2.639
42	1776692045.547	-0.8721	0.2296	2.6357
43	1776692045.567	-0.8701	0.229	2.6384
44	1776692045.598	-0.8671	0.2287	2.6428
45	1776692045.63	-0.8685	0.2292	2.6403
46	1776692045.657	-0.8634	0.2288	2.6459
47	1776692045.672	-0.8698	0.2292	2.6394
48	1776692045.704	-0.864	0.2288	2.6454
49	1776692045.74	-0.867	0.2289	2.6426
50	1776692045.752	-0.8709	0.2293	2.6372
51	1776692045.784	-0.8697	0.2288	2.6389
52	1776692045.816	-0.8679	0.2285	2.6414
53	1776692045.835	-0.8647	0.2283	2.645
54	1776692045.867	-0.8653	0.2278	2.6441
55	1776692045.895	-0.8652	0.2281	2.6454
56	1776692045.927	-0.8645	0.2279	2.6448
57	1776692045.942	-0.8643	0.2277	2.6451
58	1776692045.979	-0.8677	0.2287	2.6416
59	1776692046.005	-0.8655	0.2288	2.644
60	1776692046.029	-0.8656	0.2285	2.6436
61	1776692046.056	-0.8617	0.2281	2.6473
62	1776692046.084	-0.8639	0.2281	2.6457
63	1776692046.099	-0.8639	0.2284	2.6459
64	1776692046.131	-0.8624	0.2285	2.647
65	1776692046.164	-0.8681	0.2293	2.6394
66	1776692046.194	-0.8697	0.2294	2.6375
67	1776692046.21	-0.867	0.229	2.6422
68	1776692046.253	-0.8689	0.2292	2.6399
69	1776692046.289	-0.8658	0.2287	2.6437
70	1776692046.321	-0.8681	0.2293	2.6397
71	1776692046.341	-0.8668	0.2288	2.6414
72	1776692046.368	-0.8686	0.2293	2.64
73	1776692046.4	-0.8675	0.2285	2.644
74	1776692046.432	-0.8645	0.2282	2.6454
75	1776692046.456	-0.8663	0.2286	2.6435
76	1776692046.478	-0.8662	0.2288	2.6434
77	1776692046.51	-0.867	0.2292	2.6423
78	1776692046.526	-0.866	0.2293	2.6436
79	1776692046.557	-0.8674	0.2299	2.6411
80	1776692046.591	-0.8641	0.2289	2.6461
81	1776692046.605	-0.8668	0.229	2.6428
82	1776692046.636	-0.867	0.2289	2.6414
83	1776692046.674	-0.8677	0.2294	2.6399
84	1776692046.702	-0.8665	0.2291	2.6417
85	1776692046.724	-0.8686	0.2291	2.6395
86	1776692046.746	-0.8664	0.2289	2.6416
87	1776692046.783	-0.8682	0.2294	2.6392
88	1776692046.796	-0.8691	0.2285	2.6396
89	1776692046.828	-0.8709	0.2291	2.6373
90	1776692046.86	-0.8683	0.229	2.6411
91	1776692046.895	-0.8697	0.2295	2.6386
92	1776692046.921	-0.8719	0.2291	2.635
93	1776692046.951	-0.8682	0.2286	2.6393
94	1776692046.967	-0.8676	0.2291	2.6387
95	1776692047.0	-0.8655	0.2281	2.6429
96	1776692047.031	-0.867	0.2289	2.6411
97	1776692047.047	-0.8692	0.2294	2.6399
98	1776692047.078	-0.8661	0.2291	2.6431
99	1776692047.11	-0.867	0.2292	2.6414
100	1776692047.141	-0.8676	0.2291	2.64
101	1776692047.157	-0.867	0.2294	2.6397
102	1776692047.195	-0.8643	0.2288	2.6432
103	1776692047.227	-0.8649	0.2281	2.6435
104	1776692047.259	-0.8666	0.2286	2.6409
105	1776692047.283	-0.866	0.2285	2.6429
106	1776692047.318	-0.8653	0.2285	2.6432
107	1776692047.33	-0.8628	0.2282	2.6469
108	1776692047.362	-0.8667	0.2289	2.6416
109	1776692047.394	-0.8662	0.2294	2.6411
110	1776692047.425	-0.8665	0.2287	2.6414
111	1776692047.441	-0.8615	0.2281	2.6473
112	1776692047.477	-0.8645	0.2288	2.6438
113	1776692047.488	-0.8663	0.2287	2.6426
114	1776692047.526	-0.8714	0.2295	2.6361
115	1776692047.552	-0.868	0.229	2.642
116	1776692047.592	-0.8711	0.229	2.6369
117	1776692047.615	-0.868	0.2286	2.641
118	1776692047.646	-0.8664	0.2292	2.6425
119	1776692047.678	-0.8655	0.2288	2.6438
120	1776692047.696	-0.8664	0.229	2.6433
121	1776692047.726	-0.8665	0.2289	2.641
122	1776692047.756	-0.8636	0.2283	2.645
123	1776692047.788	-0.8687	0.2289	2.6383
124	1776692047.803	-0.8666	0.2289	2.6423
125	1776692047.835	-0.867	0.2294	2.6408
126	1776692047.867	-0.867	0.2298	2.6395
127	1776692047.882	-0.8685	0.2304	2.6379
128	1776692047.916	-0.8681	0.2295	2.6375
129	1776692047.945	-0.8694	0.2293	2.6357
130	1776692047.977	-0.8702	0.2294	2.6342
131	1776692048.009	-0.8744	0.2302	2.6291
132	1776692048.026	-0.8716	0.2294	2.6322
133	1776692048.072	-0.8737	0.2302	2.6309
134	1776692048.105	-0.8755	0.2305	2.6298
135	1776692048.126	-0.8767	0.2303	2.6276
136	1776692048.153	-0.878	0.2301	2.6271
137	1776692048.181	-0.8753	0.23	2.6291
138	1776692048.213	-0.8723	0.2292	2.6326
139	1776692048.244	-0.8758	0.2292	2.6279
140	1776692048.276	-0.8791	0.23	2.6229
141	1776692048.291	-0.8769	0.2292	2.6266
142	1776692048.326	-0.882	0.2302	2.6188
143	1776692048.354	-0.8813	0.2283	2.6233
144	1776692048.38	-0.8801	0.2286	2.6235
145	1776692048.403	-0.8814	0.2288	2.6224
146	1776692048.433	-0.8865	0.2293	2.6154
147	1776692048.457	-0.8905	0.2301	2.6103
148	1776692048.48	-0.8873	0.229	2.6141
149	1776692048.511	-0.8879	0.2294	2.6132
150	1776692048.529	-0.8888	0.2295	2.6125
151	1776692048.559	-0.8875	0.2289	2.6148
152	1776692048.594	-0.8828	0.2274	2.6216
153	1776692048.628	-0.8776	0.2271	2.6285
154	1776692048.653	-0.8845	0.2281	2.6183
155	1776692048.677	-0.8852	0.2279	2.6176
156	1776692048.7	-0.8858	0.2278	2.6171
157	1776692048.731	-0.8756	0.2267	2.6315
158	1776692048.747	-0.8773	0.2267	2.6276
159	1776692048.78	-0.8829	0.2277	2.6208
160	1776692048.823	-0.8813	0.2276	2.6218
161	1776692048.853	-0.8836	0.228	2.6188
162	1776692048.873	-0.8831	0.2278	2.6209
163	1776692048.907	-0.8884	0.229	2.6137
164	1776692048.926	-0.8867	0.2286	2.615
165	1776692048.964	-0.8838	0.228	2.6192
166	1776692048.983	-0.89	0.2294	2.6106
167	1776692049.015	-0.8873	0.2285	2.6145
168	1776692049.045	-0.8845	0.2279	2.6194
169	1776692049.062	-0.8853	0.2282	2.6183
170	1776692049.094	-0.8828	0.2277	2.6216
171	1776692049.127	-0.8849	0.2283	2.6179
172	1776692049.142	-0.8834	0.2282	2.6202
173	1776692049.19	-0.8869	0.2279	2.6159
174	1776692049.206	-0.8883	0.2292	2.6139
175	1776692049.237	-0.8863	0.2284	2.6159
176	1776692049.271	-0.8844	0.2275	2.6192
177	1776692049.301	-0.8866	0.2277	2.6159
178	1776692049.327	-0.8885	0.2283	2.6137
179	1776692049.348	-0.886	0.2286	2.6159
180	1776692049.38	-0.8845	0.2272	2.6171
181	1776692049.411	-0.8844	0.2275	2.6168
