Frame	Temps(s)	X(m)	Y(m)	Z(m)
1	1776691736.487	-0.2287	0.2234	2.5493
2	1776691743.335	-0.222	0.2227	2.5578
3	1776691743.369	-0.224	0.2221	2.556
4	1776691743.392	-0.2182	0.2222	2.5585
5	1776691743.437	-0.2214	0.223	2.5566
6	1776691743.471	-0.2272	0.2231	2.5547
7	1776691743.51	-0.2273	0.2226	2.555
8	1776691743.534	-0.2197	0.2217	2.5605
9	1776691743.574	-0.2198	0.2228	2.5598
10	1776691743.597	-0.2262	0.2229	2.5562
11	1776691743.644	-0.2261	0.2228	2.5548
12	1776691743.676	-0.2298	0.2224	2.5511
13	1776691743.719	-0.2309	0.2231	2.5505
14	1776691743.762	-0.2333	0.2232	2.5497
15	1776691743.793	-0.2264	0.2219	2.5566
16	1776691743.818	-0.2265	0.2232	2.5549
17	1776691743.86	-0.2303	0.2219	2.5523
18	1776691743.897	-0.2277	0.2224	2.5529
19	1776691743.929	-0.2383	0.2231	2.5451
20	1776691743.96	-0.2411	0.2236	2.5424
21	1776691744.007	-0.2381	0.2232	2.5479
22	1776691744.023	-0.2298	0.2231	2.5504
23	1776691744.06	-0.2302	0.2233	2.5498
24	1776691744.086	-0.2297	0.2228	2.5521
25	1776691744.112	-0.2301	0.2231	2.5523
26	1776691744.149	-0.2322	0.2224	2.5533
27	1776691744.181	-0.231	0.2229	2.5494
28	1776691744.213	-0.232	0.2215	2.5532
29	1776691744.228	-0.2277	0.2219	2.554
30	1776691744.276	-0.2256	0.2226	2.5554
31	1776691744.292	-0.2255	0.2214	2.5592
32	1776691744.329	-0.2251	0.2218	2.5569
33	1776691744.355	-0.2271	0.2224	2.5557
34	1776691744.395	-0.2242	0.2221	2.5562
35	1776691744.42	-0.2199	0.2217	2.5606
36	1776691744.447	-0.217	0.2222	2.5627
37	1776691744.473	-0.2202	0.2217	2.5626
38	1776691744.502	-0.2237	0.2228	2.5576
39	1776691744.536	-0.227	0.2226	2.5555
40	1776691744.566	-0.2302	0.2229	2.5542
41	1776691744.596	-0.2285	0.223	2.5558
42	1776691744.623	-0.2298	0.2212	2.5586
43	1776691744.651	-0.23	0.2217	2.5569
44	1776691744.689	-0.2284	0.2215	2.5567
45	1776691744.718	-0.2266	0.2223	2.5582
46	1776691744.762	-0.2281	0.2224	2.5582
47	1776691744.789	-0.2261	0.2209	2.5622
48	1776691744.827	-0.2239	0.2208	2.5629
49	1776691744.852	-0.2231	0.2212	2.5583
50	1776691744.878	-0.23	0.2214	2.5566
51	1776691744.906	-0.2302	0.2225	2.5555
52	1776691744.934	-0.231	0.2227	2.5529
53	1776691744.966	-0.2308	0.2219	2.5536
54	1776691744.996	-0.231	0.2225	2.553
55	1776691745.034	-0.2313	0.2225	2.5519
56	1776691745.065	-0.2319	0.2223	2.5512
57	1776691745.094	-0.2302	0.2227	2.5523
58	1776691745.113	-0.2314	0.2226	2.5527
